Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Year,Month,Month_Name,Quarter,Hierarchical_Cluster,PCA1,PCA2
SC-10000,2025-10-16,Singapore,Los Angeles,Rail,Textiles,5930.83,197.42,2.43,5.0,Hurricane,0.865,41.39,1,2025,10,October,4,3,0.8809499908498217,-0.566298465235651
SC-10001,2024-04-24,Singapore,Shanghai,Rail,Automotive,14285.36,237.24,2.3,7.5,Storm,0.592,40.92,1,2024,4,April,2,3,2.46165155087562,0.27733002385892397
SC-10002,2024-01-26,Rotterdam,Los Angeles,Rail,Perishables,11113.91,427.42,1.78,5.6,Rain,0.673,11.54,0,2024,1,January,1,2,0.503000341284501,-1.0415864692270256
SC-10003,2024-10-08,Busan,Hamburg,Rail,Electronics,9180.55,170.66,3.2,0.8,Hurricane,0.832,49.853750000000005,1,2024,10,October,4,3,1.4752077686356428,0.2353499669027877
SC-10004,2024-09-07,Busan,Singapore,Air,Perishables,2762.27,434.96,2.77,1.9,Fog,0.741,0.5,1,2024,9,September,3,1,-1.6552486488700409,-0.6435669434296042
SC-10005,2024-08-16,Rotterdam,Marseille,Rail,Automotive,2761.92,44.98,4.06,2.2,Rain,0.869,2.16,1,2024,8,August,3,1,-1.6103096833870858,1.0979936868016347
SC-10006,2024-05-22,Shanghai,Antwerp,Rail,Pharmaceuticals,1342.21,388.62,1.31,2.6,Storm,0.981,2.99,0,2024,5,May,2,0,-1.726480067037126,-2.429687773353405
SC-10007,2024-04-14,Busan,Antwerp,Air,Textiles,13059.55,423.93,3.32,5.7,Fog,0.558,1.25,1,2024,4,April,2,4,0.3418682285371271,0.4782442779435199
SC-10008,2025-11-23,Dubai,Marseille,Air,Textiles,9216.17,91.73,3.72,5.0,Clear,0.855,0.62,1,2025,11,November,4,4,-0.42058918512273846,0.747036803127771
SC-10009,2025-07-12,Los Angeles,Singapore,Rail,Electronics,10767.05,215.74,3.71,2.0,Storm,0.615,25.17,1,2025,7,July,3,4,0.7565296449059971,1.2772528594163652
SC-10010,2024-03-30,Dubai,Rotterdam,Rail,Perishables,798.48,83.58,4.12,0.7,Rain,0.707,0.5,0,2024,3,March,1,2,-2.073439306062315,1.651246229816236
SC-10011,2025-08-27,Hamburg,Los Angeles,Air,Automotive,14563.69,353.6,3.61,1.7,Fog,0.516,1.33,1,2025,8,August,3,4,0.3196456983510862,1.1377358883726547
SC-10012,2025-03-08,Singapore,Busan,Rail,Perishables,12570.42,268.14,4.26,9.8,Fog,0.568,19.6,1,2025,3,March,1,4,1.3280503292348267,1.571385166553054
SC-10013,2024-02-02,Los Angeles,Hamburg,Road,Pharmaceuticals,3578.92,318.03,2.3,4.7,Storm,0.66,7.58,1,2024,2,February,1,2,-0.9700087983584017,-0.26450693168675865
SC-10014,2024-01-31,Antwerp,Shanghai,Rail,Textiles,3136.46,99.05,2.86,8.7,Storm,0.671,9.4,1,2024,1,January,1,2,-0.6928262971401079,0.7962286103506967
